anakjakartaasikasik,anak jakarta asyik asyik
transpuan,transgender perempuan
transpā,transparan
troma,trauma
trend,tren
trendnya,trennya
triliyun,triliun
trilliun,triliun
trilyun,triliun
triliyunan,triliun
trilyunan,triliun
trumpā,trump
trumph,trump
tue,tua
tgb,tuan guru bajang
tgbpemimpinumat,tuan guru bajang pemimpin umat
tgbpresiden2019,tuan guru bajang presiden 2019
tgbuntukindonesia,tuan guru bajang untuk indonesia
tgbforindonesia2019,tuan guru bajang untuk indonesia 2019
tgbuntukindonesia2019,tuan guru bajang untuk indonesia 2019
tgbzainulmajdi2019,tuan guru bajang zainul majdi 2019
tuangurucabul,tuan guru cabul
tuan2,tuan tuan
tuamu,tuanmu
tuduhannmu,tuduhanmu
tugas2,tugas tugas
tujuan2,tujuan tujuan
tkng,tukang
tukag,tukang
tuker,tukar
tolah,tulah
tulalitt,tulalit
tulang2,tulang tulang
tili,tuli
tulisan2,tulisan tulisan
tulis2in,tuliskan
tumbangkn,tumbangkan
tumbangkanjokowi,tumbangkan jokowi
tumbangkanjokowiradikal,tumbangkan jokowi radikal
tuney,tunai
tumbur,tunas
thr,tunjangan hari raya
tunjukin,tunjukkan
tunjukilah,tunjukanlah
tuntuna,tuntunan
trunkn,turunkan
tipiwan,tvone
thaad,ustaz
tertanya,yang ditanyai
thy,your
tvshow,acara televisi
uwu,ai
uwuwuww,ai
uyghur,ai
uyhgur,ai
weekend,akhir pekan
uing,aku
weird,aneh
uanjing,anjing
wasuu,anjing
what,apa
whatever,apapun
zhong,apes
zonk,apes
usep,asep
ulamak,astaga
yok,ayo
yuh,ayo
yukk,ayo
yukp,ayo
yuks,ayo
yut,ayo
yuuk,ayo
yuknabung,ayo menabung
yukngaji,ayo mengaji
yukpromosikanasiangames18,ayo promosikan asian games 2018
wazhab,azab
vau,bau
urg,belum
varokah,berkah
twitteran,bermain twitter
usual,biasa
umyun,buta
with,dengan
vilage,desa
wantimpres,dewan pertimbangan presiden
two,dua
twice,dua kali
twoshoot,dua tembakan
uenak,enak
yummy,enak
wave,gelombang
zhengting,genting
wahahahaha,haha
whahahaahaha,haha
whuahahahah,haha
wei,hai
weii,hai
wishnya,harapannya
wey,he
weyh,he
yahut,hebat
zz,hem
yey,hore
yeyy,hore
ujan,hujan
ujan2,hujan hujanan
ummi,ibu
wanna,ingin
wasatiyatislam,islam moderat
wife,istri
tuu,itu
yaap,iya
yaapss,iya
yao,iya
yaoi,iya
yee,iya
yeh,iya
yeho,iya
yelah,iya
yes,iya
yeshh,iya
yoj,iya
yoo,iya
yooa,iya
yuhu,iya
yuhuu,iya
yui,iya
yegak,iya atau tidak
yebin,iya biarkan
yadong,iya dong
yy,iya iya
yakan,iyakan
yekan,iyakan
yeeuh,jijik
yeu,jijik
yeuh,jijik
yeuhh,jijik
yuta,juta
unnie,kakak perempuan
wechooserahmah,kami pilih rahmah
ur,kamu
you,kamu
youu,kamu
wag,kekasih
weaknessnya,kelemahannya
why,kenapa
wareg,kenyang
volunteerism,kesukarelaan
unfairness,ke tidak adilan
while,ketika
typingnya,ketikannya
victim,korban
ucink,kucing
voucher,kupon
turtle,kura kura
walter,laki laki
vs,lawan
turah,lebih
weru,lihat
warbiasak,luar biasa
warrbisah,luar biasa
wengi,malam
wear,pakai
videoin,memvideo
win,menang
typing,mengetik
ungguli,mengungguli
visit,mengunjungi
untungkan,untung
watching,menonton
tutupi,tutup
tutupin,tutup
undeestimate,menyepelekan
underestimate,menyepelekan
waspadai,mewaspadai
wawancarain,mewawancarai
wasatiyah,moderat
wasatiyat,moderat
watasiyat,moderat
zonkey,monyet
winters,musim dingin
uname,nama pengguna
unem,nama pengguna
username,nama pengguna
usher,nama pengguna
unamenya,nama penggunanya
yawa,nyawa
ui,oi
uwoy,oi
wo,oi
woe,oi
woey,oi
woii,oi
wooii,oi
wooui,oi
wooy,oi
wooyy,oi
woy,oi
woyy,oi
uke,oke
villager,orang desa
wonge,orangnya
utak,otak
uteknya,otaknya
vadjadjaran,padjadjaran
wahala,pahala
uncle,paman
vasti,pasti
waiters,pelayan
updaters,pembaru
update,pembaruan
updateannya,pembaruan
ultrasnya,pendukung fanatiknya
walpri,pengawal pribadi
user,pengguna
usage,guna
upgrade,tingkat
witch,penyihir
wor,perang
twitwor,perang twit
walkout,pergi
vn,pesan suara
utangan,pinjaman
wowo,prabowo
wowok,prabowo
updating,proses pembaruan
udelnya,pusarnya
wiig,rambut palsu
umoh,rumah
wrong,salah
typo,salah ketik
very,sangat
woles,santai
zapi,sapi
ukhti,saudari
ukhti2,saudari saudari
wilujeng,selamat
umpetin,sembunyikan
tyap,tiap
voice,suara
ud,sudah
udaah,sudah
udab,sudah
ude01,sudah
udeeh,sudah
udehh,sudah
wes,sudah
wess,sudah
wis,sudah
ws,sudah
wisan,sudahan
udahlah,sudahlah
weslah,sudahlah
walaahh,sumpah
zuzu,susu
usyriyah,syriyah
turtable,tabel kebenaran
year,tahun
without,tanpa
tv,televisi
tvri,televisi republik indonesia
venue,tempat
ty,terima kasih
ujug2,tiba tiba
ujuk2,tiba tiba
ujungujung,tiba tiba
tydac,tidak
tydak,tidak
useless,tidak berguna
unbranded,tidak bermerek
unpub,tidak dipublikasikan
unskilled,tidak terampil
tyo,tio
type,tipe
typekal,tipikal
typical,tipikal
urani,tirani
tytyd,titit
wc,toilet
tuwek,tua
wait,tunggu
turret,turet
turkey,turki
turnament,turnamen
turo,turonggo
turun2,turun turun
tweet2,tweet tweet
twee,twit
tweeps,twit
tweet,twit
tweetdsap,twit
tweets,twit
twet,twit
twip,twit
twips,twit
twitt,twit
twiy,twit
twt,twit
tweetnya,twitnya
twatter,twitter
tweeter,twitter
twiter,twitter
tyasmirasih,tyas mirasih
uangkita,uang kita
ucpn,ucapan
ucapakan,ucapkan
uddin,udin
ugal2an,ugal ugalan
ugh,uh
unch,uh
ush,uh
uuhh,uh
uunncchh,uh
uhuww,uhuy
woo,uhuy
woohoo,uhuy
ujin,uji
uas,ujian akhir semester
umptn,ujian masuk perguruan tinggi nasional
un,ujian nasional
unbk,ujian nasional berbasis komputer
uts,ujian tengah semester
ujung2,ujung ujung
ujung2nya,ujung ujungnya
ukwah,ukhuwah
ulakkarang,ulak karang
ulamaā,ulama
ulamaš,ulama
ulama2an,ulama bohongan
ulama2,ulama ulama
ulangtahun,ulang tahun
ulangtaun,ulang tahun
ultah,ulang tahun
ulang2,ulang ulang
ulasanya,ulasannya
ultrakanan,ultra kanan
uv,ultra violet
umaraā,umara
umaro,umara
umaroh,umara
umatbersamasaksi,umat bersama saksi
ummatnha,umatnya
umroh,umrah
umur2,umur umur
undang2,undang undang
uu,undang undang
uud,undang undang dasar
uud45,undang undang dasar 1945
unfol,unfollow
unfoll,unfollow
upfoll,unfollow
upload,unggah
ungkit2,ungkit ungkit
uae,uni emirat arab
unisoviet,uni soviet
url,uniform resource locator
uk,united kingdom
usa,united state of america
univ,universitas
universiti,universitas
universityā,universitas
ub,universitas brawijaya
uin,universitas islam negeri
unkris,universitas kristen
unm,universitas negeri malang
unpad,universitas negeri padjadjaran
unnes,universitas negeri semarang
untan,universitas tanjungpura
untar,universitas tarumanegara
universiti2,universitas universitas
unt,untuk
untuak,untuk
unutk,untuk
utuk,untuk
untrakyat,untuk rakyat
untung2an,untung untungan
uupa,upah
umr,upah minimum regional
upone,upon
upss,ups
urusn,urusan
urusin,uruskan
ukm,usaha kecil menengah
usirchina,usir cina
usirdubesmyanmar,usir kedutaan besar myanmar
usluf,uslub
ustmani,usmani
uss,ussr
ust,ustaz
ustadz,ustaz
ustd,ustaz
ust2,ustaz ustaz
ustad2,ustaz ustaz
ustadz2,ustaz ustaz
ustd2,ustaz ustaz
uthman,utsman
utusanmalaysia,utusan malaysia
utusanonline,utusan online
udzur,uzur
valik,valak
validnya,validitasnya
verif,verifikasi
ver,versi
vii,vi
vid,video
videobokep,video bokep
vidkep,video bokep
videobokepgrat,video bokep gratis
vc,video call
vcs,video call sex
vclip,video klip
videomesum,video mesum
videongentot,video ngentot
vikinganjing,viking anjing
villa,vila
vincesius,vincentius
vinyl,vinil
virakan,viralkan
viralin,viralkan
visualnya,visualisasinya
viv4jokowi,viva jokowi
vivov9,vivo
vivov9grandlaunch,vivo
vocal,vokal
waba,wabah
wadaauuww,waduh
wadaw,waduh
wadidaw,waduh
waduuh,waduh
wala,waduh
wllh,waduh
wlo,waduh
waah,wah
wahh,wah
wal,wah
wehh,wah
woh,wah
wohh,wah
yua,wah
wagelaseh,wah gila sih
waaini,wah ini
waini,wah ini
wainna,wah ini
wahbrot,wah saudara
wagakbener,wah tidak benar
wahabrer,wah tidak benar
wah2,wah wah
wahhabi,wahabi
wahabism,wahabisme
wajae,wajahnya
wajahā,wajahnya
wajahx,wajahnya
wjar,wajar
wajar2,wajar wajar
wajarla,wajarlah
wamil,wajib militer
waji,wajik
wagub,wakil gubernur
wagubku,wakil gubernurku
wagubnya,wakil gubernurnya
waketum,wakil ketua umum
wapres,wakil presiden
wapresnya,wakil presidennya
wapresnye,wakil presidennya
wib,waktu indonesia bagian barat
wayahe,waktunya
walaipun,walaupun
walaupon,walaupun
walupun,walaupun
walkot,wali kota
walikotanya,wali kotanya
walisongo,wali songo
wanita2,wanita wanita
waqiā,waqiah
wn,warga negara
wna,warga negara asing
wni,warga negara indonesia
wargapribumiasli,warga pribumi asli
warisanā,warisannya
wartawan2,wartawan wartawan
wrung,warung
warnet,warung internet
warteg,warung tegal
warung2,warung warung
wasite,wasitnya
waspadapki,waspada partai komunis indonesia
waspadailah,waspadalah
waspadanya,waspadalah padanya
wslm,wassalam
wassalammualaikum,wassalammualaykum
watrpad,wattpad
wawancaraeksklusif,wawancara eksklisif
wgl,we get love
wibu,weeaboo
wenangan,wejangan
wel,well
wtf,what the fuck
wassapnya,whatsappnya
wefie,wifi
wil,wilayah
wilyah,wilayah
wilayah2,wilayah wilayah
wne,wine
wirosableng,wiro sableng
wisatakaltim,wisata kalimantan timur
waakaakaak,wkwk
wakaka,wkwk
wakakak,wkwk
wakakaka,wkwk
wakakakak,wkwk
wakakakaka,wkwk
wakakakakakak,wkwk
wakakkakkak,wkwk
wakaq,wkwk
wakwaww,wkwk
wek,wkwk
wekawekaweka,wkwk
wekekkeke,wkwk
wjdjiqksks,wkwk
wk,wkwk
wkaakakak,wkwk
wkakak,wkwk
wkakakakaka,wkwk
wkejwkkw,wkwk
wkk,wkwk
wkkw,wkwk
wkkwkk,wkwk
wkkwkw,wkwk
wkkwkwkw,wkwk
wkkwkwkwkw,wkwk
wkkww,wkwk
wks,wkwk
wksk,wkwk
wkw,wkwk
wkwkk,wkwk
wkwkkw,wkwk
wkwkkwk,wkwk
wkwkkwkw,wkwk
wkwkkwkwkw,wkwk
wkwkkwkwkwkwkq,wkwk
wkwks,wkwk
wkwkw,wkwk
wkwkwjjwjw,wkwk
wkwkwk,wkwk
wkwkwkakak,wkwk
wkwkwkk,wkwk
wkwkwkkwkw,wkwk
wkwkwkkwkwkwwk,wkwk
wkwkwkw,wkwk
wkwkwkwkk,wkwk
wkwkwkwkkw,wkwk
wkwkwkwkw,wkwk
wkwkwkwkwk,wkwk
wkwkwkwkwkk,wkwk
wkwkwkwkwkkw,wkwk
wkwkwkwkwkkwkwkw,wkwk
wkwkwkwkwkw,wkwk
wkwkwkwkwkwkk,wkwk
wkwkwkwkwkwkwk,wkwk
wkwkwkwkwkwkwkwk,wkwk
wkwkwkwkwkwkwkwkkwkwkwkwkwkwkwkkw,wkwk
wkwkwkwkwkwkwkwkwkwkwk,wkwk
wkwkwkwkwwkwkwkwkwkwkwk,wkwk
wkwkwkwwkkwkwkwkwk,wkwk
wkwkwkwwkwk,wkwk
wkwkwwk,wkwk
wkwwk,wkwk
wqwq,wkwk
wqwqwq,wkwk
wqwqwqwq,wkwk
wuakkakaa,wkwk
wwkkw,wkwk
wwkwkwkw,wkwk
wwsn,wkwk
wonderfulindonesia,woderful indonesia
worldcup2018,world cup 2018
waaw,wah
waow,wah
waw,wah
wew,wah
widih,wah
woow,wah
woww,wah
wuah,wah
wusstt,wah
wournos,wuornos
winwen,xinwen
yab,ya
yaš,ya
yha,ya
yaah,ya
yaakk,ya
yahh,ya
yas,ya
yeah,ya
yuups,ya
yaallah,ya allah
yaallahh,ya allah
yaolo,ya allah
yasalam,ya allah
yassalam,ya allah
yawlah,ya allah
yaamfun,ya ampun
yaampun,ya ampun
yampun,ya ampun
yagimanasih,ya bagaimana sih
yagitu,ya begitu
yai,ya iyalah
yaila,ya iyalah
yailaah,ya iyalah
yailah,ya iyalah
yaiyalah,ya iyalah
yakali,ya kali
yra,ya rabbal alamin
yauda,ya sudah
yawdah,ya sudah
yowis,ya sudah
yaudahlah,ya sudahlah
yanga,ya tidak
yaola,ya tidak
yalord,ya tuhan
yaaelaa,yaelah
yaaelah,yaelah
yaelahh,yaelah
yahodi,yahudi
yahudii,yahudi
yahudilik,yahudi
yakini,yaitu
yakiin,yakin
yakiinn,yakin
yabg,yang
yanag,yang
yangg,yang
yant,yang
yynng,yang
zhang,yang
yangbagus,yang bagus
ybhg,yang berbahagia
ybs,yang bersangkutan
yll,yang lain lain
yme,yang maha esa
yangmembuat,yang membuat
yth,yang terhormat
yasadipura,yasa adipura
yaysn,yayasan
ylbhi,yayasan lembaga bantuan hukum indonesia
ylhbi,yayasan lembaga bantuan hukum indonesia
yal,yel
yall,yel
yell,yel
yogya,yogyakarta
ykwim,you know what i mean
yutub,youtube
yutup,youtube
yutuber,youtuber
yubaarik,yubarik
ucril,yusril
ym,yusuf mansyur
zainulmajdi,zainul majdi
zhalim,zalim
zmn,zaman
zar,zat
zionist,zionis
zoon,zoom
zuyle,zumi
met,selamat
netaas,menetas
keberpa,keberapa
eeeehhhh,eh
kata2nyaaa,kata katanya
hallo,halo
ka,kakak
daah,sudah
aaaaahhhh,ah
nyenengin,menyenangkan
gemess,gemas
akuuu,aku
gemesiin,menggemaskan
menyenangkn,menyenangkan
mnis2nya,manis manisnya
idolaa,idola
kaakk,kakak
baaiikkk,baik
telaatt,telat
kaak,kakak
loohhh,kamu
yeee,iya
baguuuuus,bagus
gayany,gayanya
bnk,bank
awaas,awas
siip,sip
abizzzz,habis
kerrrrennnn,keren
sayaa,saya
sdkit,sedikit
lgu,lagu
kharismanya,karismanya
lgunya,lagunya
kereeeeennnn,keren
nyamain,menyamakan
lakik,laki
siippp,sip
kereeen,keren
wihhhhhh,weh
bingitsss,banget
kaloo,kalau
gimna,bagaimana
tuuh,itu
nyebur,mencebur
dbuat,buat
bangcat,bangsat
waoohhh,wah
dhe,deh
indahhh,indah
bgttt,banget
berarto,arti
amiiinn,amin
aminnnn2,amin amin
amiiiin,amin
aminnn,amin
amiend,amin
yaaa,ya
ameen,amin
aminnnn,amin
amiiinnn,amin
mamer,memamerkan
jelase,jelas
uwakk,uak
gini,begini
njir,anjir
piiink,merah muda
astgfrullah,astagfirullah
gbs,enggak bisa
yaaaaaa,ya
bangshad,bangsat
stagahhhh,astaga
iooo,kamu
plampiasannn,pelampiasan
masalahh,masalah
inghinn,ingin
dhi,di
mengherthii,mengerti
yanckh,sayang
chelalyyu,selalu
therchakitty,tersakiti
mauuuuu,mau
kaliii,kali
bangat,banget
dongg,dong
yokkk,ayo
sweger,segar
gantengg,ganteng
bingiit,banget
kebukaaa,buka
kayakk,kayak
asliii,asli
cntiknya,cantiknya
ngeliatnya,melihatnya
njerr,anjir
bingiiittttzzzz,banget
dooong,dong
hdk,hendak
jugaa,juga
mksud,maksud
mbakx,mbaknya
bejilbbnya,berjilbabnya
masio,masih
yahhh,ya
makasih,terima kasih
ugaaa,juga
jerewi,jerawat
jilbabnyaah,jilbabnya
yuuuk,ayo
warnaaa,warna
punyaaa,punya
cantiik,cantik
sukaaak,suka
kebayanyaa,kebayanya
merekaaaa,mereka
jugaaa,juga
gilaaaa,gila
tiga2nya,tiga tiganya
lucuu,lucu
emessss,gemas
ucullllll,lucu
bangeettt,banget
gemesshh,gemas
apaaa,apa
ampuunn,ampun
ciuuuummmm,cium
ngemeng,bicara
epe,apa
seehh,sih
ucul,lucu
astagfirrullah,astagfirullah
suerrr,sumpah
ntik,cantik
lucuuuu,lucu
ketawakkkk,tertawa
nakutin,menakutkan
malingg,maling
cocokk,cocok
niihh,nih
imutttttt,imut
satuuuuu,satu
sesekk,sesak
nafass,napas
bgtt,banget
cintaaaaaaa,cinta
lucuk,lucu
duluu,dulu
megang,pegang
kawinin,mengawini
nyaaa,nya
gemesin,menggemaskan
fotoin,foto
kaaa,kakak
ganteng2,ganteng ganteng
pcarny,pacarnya
kri,kiri
garuk2,garuk garuk
tembokk,tembok
kiriii,kiri
bungkusin,bungkuskan
dehhhh,deh
kakk,kakak
ngegantiin,menggantikan
trsa,terasa
khadirannya,kehadirannya
hayalanku,khayalanku
surgaa,surga
kangenn,kangen
kgn,kangen
kakkkkk,kakak
rinduuuuuuuuu,rindu
terangkhn,terangkan
bgtttt,banget
bngunlah,bangunlah
qu,ku
hiri,hari
alm,almarhum
sie,sih
benet,benar
bangetttt,banget
gda,enggak ada
gantiin,gantikan
kklau,kalau
acra,acara
bnerr,benar
emk,emak
temenn,teman
pngenn,ingin
terkenall,kenal
ajhh,saja
sungguh2,sungguh sungguh
dimusiumin,dimuseumkan
bntu,bantu
kangem,kangen
amiiin,amin
lahhh,lah
lht,lihat
biasa2,biasa biasa
mnrtkuu,menurutku
wajiiib,wajib
aaaammmiiiinnnn,amin
dtnggu,ditunggu
kunjungin,kunjungi
lagiiii,lagi
waktunyaaa,waktunya
diluangin,diluangkan
mimin,admin
istimewaaa,istimewa
donkk,dong
kejawab,terjawab
yaaaa,ya
seru2an,seru seruan
mohom,mohon
kebalas,terbalas
nyempetin,menyempatkan
wktunya,waktunya
kaaaa,kakak
namain,menamai
ijap,ijab
kobul,kabul
inggat,ingat
brdua,berdua
sanggat,sangat
siipp,sip
laa,lah
hdp,hidup
kedpan,ke depan
mndaptkan,dapat
nutup"in,menutup nutupi
kakkk,kakak
za,saja
mulut2,mulut mulut
peengn,ingin
muantteepp,mantap
mrit,menikah
ngapasih,kenapa sih
segitunya,sebegitunya
fto,foto
sisain,sisakan
slamt,selamat
nantiii,nanti
edaaan,edan
tunggu2,tunggu tunggu
ciyeeeeeee,wah
lairannya,kelahirannya
jmnya,jamnya
ajha,saja
nyaaaa,nya
amiien,amin
terbaikkk,terbaik
ayahh,ayah
ae,saja
mrekaaaa,mereka
yaampuuuunnnn,ya ampun
nyanyiin,menyanyikan
ahhh,ah
tempt,tempat
jalan2,jalan jalan
asyikkkkk,asyik
iriiiii,iri
naaaaahh,nah
kka,kakak
jrang,jarang
gossip2an,saling menggosip
makkk,emak
guee,gue
pengennn,ingin
gilzz,gila
nyaru,menyaru
gilaaa,gila
kebarat2an,kebarat baratan
mantabs,mantap
mlu,malu
payahh,payah
ntaf,mantap
milikin,milik
kamo,kamu
inih,ini
sukaaaa,suka
sukaaaaaa,suka
mehoonggggg,mahal
apikkkk,bagus
yach,ya
kereenn,keren
ginii,begini
ayoook,ayo
yoiii,iya
gituuu,begitu
iyaaa,iya
liptsk,lipstik
nyeplak,menjiplak
kmarin,kemarin
mengncang,mengencang
tauu,tau
skitar,sekitar
ats,atas
donk,dong
heii,hai
diputusin,diputus
pcrnya,pacarnya
mnjual,menjual
kkak,kakak
rekomendasiin,rekomendasikan
sihhh,sih
cooocok,cocok
mamanyy,mamanya
bosenin,membosankan
sey,sih
cantikkk,cantik
banger,banget
kaa,kakak
eakyu,waktu
cntik,cantik
kakanya,kakaknya
doeloe,dulu
cantikkkk,cantik
bngtt,banget
iyak,iya
malh,malah
gag,enggak
fhotonya,fotonya
bleh,boleh
tanteny,tantenya
sklinyaa,sekalinya
dramaa,drama
niiih,nih
bisaa,bisa
lihaat,lihat
yuwkkk,ayo
editannn,editan
mai,mau
kamuu,kamu
pastii,pasti
bisaaa,bisa
kejuu,keju
kereen,keren
kmauan,kemauan
ahhhh,ah
yuuuuk,ayo
disiniii,di sini
cobaa,coba
ajaaa,saja
tuhhh,itu
amploppp,amplop
sayangg',sayang
nantii,nanti
aminnnnn,amin
yukkkk,ayo
nged,banget
nantik,nanti
ksitu,ke situ
bangeett,banget
liad,lihat
biasahhh,biasa
tutorialx,tutorialnya
dpke,dipakai
fhoto,foto
kerenn,keren
binggo,banget
rekomndd,rekomended
wado,waduh
guaa,gue
yaakkk,ya
bangetttttyt,banget
bangettttt,banget
bangg,abang
kangeeeeeeeeennnnnnnn,kangen
kaliannnnnn,kalian
rinduuuuuuuuuu,rindu
kangennnnnmnnnnnnnnnnnnnnnnn,kangen
kaliannnnnm,kalian
kangeeeeeeeeeeennnnn,kangen
kangennnnnnnnnnnnnnnn,kangen
kangennn,kangen
kaliannnnnnn,kalian
th2,tahun tahun
trserah,terserah
wlwpun,walaupun
trpsah,terpisah
prsatukn,persatukan
ngomng,berbicara
mdh2an,mudah mudahan
skedar,kadar
kangeeerrn,kangen
pulak,pula
terrrrbaik,terbaik
jorookknya,joroknya
ihhhhh,ih
padahall,padahal
jorokkkk,jorok
mualll,mual
klow,kalau
taiiii,tai
seneeeeeng,senang
besarin,besarkan
tanyang,tayang
ber2,berdua
kerreeen,keren
pantess,pantas
bngettt,banget
baperr,bawa perasaan
ht,hati
pemainy,pemainnya
aqu,aku
kbawa,terbawa
bradegan,beradegan
amiiinnnn,amin
nikahin,nikahi
liyat,lihat
adengan,adegan
bingit,banget
model2,model model
sitayngin,ditayangkan
cocokkk,cocok
mahhhh,adalah
cocokny,cocoknya
iniw,ini
setju,setuju
bnern,benaran
klian,kalian
cocokkkk,cocok
bngett,banget
abes,habis
ihh,ih
beginiiii,begini
keq,kayak
sygkuu,sayangku
ngeselin,mengesalkan
bajua,bajunya
pokokya,pokoknya
ubur2,ubur ubur
kuyy,ayo
bentarr,bentar
dureen,durian
ajibb,keren
mahall,mahal
niiihh,nih
imuuttt,imut
imuttzz,imut
nha,nya
konten2,konten konten
rasain,rasakan
daaaah,deh
asliiii,asli
cantiknnnnyaaaaaaa,cantiknya
ngelihatnya,melihatnya
ibu2,ibu ibu
lau,kamu
cantikk,cantik
sexxi,sexy
bulet,bulat
ituu,itu
ngocok,mengocok
gn,begini
yaahhh,ya
kencqng,kencang
kra,kira
diginikan,dibeginikan
lahh,lah
gambarin,gambarkan
ngerii,mengerikan
digambarin,gambar
klen,kalian
kog,kok
liatnya,lihatnya
bedanyaaa,bedanya
mbk,mbak
pgin,ingin
krudungan,kerudungan
maksutku,maksudku
kerennnnn,keren
njirr,anjir
manisnyaaaa,manisnya
thun,tahun
bangeet,banget
ngomen,mengomentari
kaaakk,kakak
tenggah,tengah
uuuuuaaaaaaaaaappppppppppiiiiiiiiiiiiiiiiiikkkkkkkkkkkkkkkk,apik
kocakkkkkkkkkkkkkk,kocak
ksukaanmuuu,kesukaanmu
bagiii,bagi
ayooo,ayo
nontonx,menontonnya
penasarannnn,penasaran
gilakkkkkk,gila
mauuu,mau
nontoonnn,menonton
cepet2,cepat cepat
kepingin,ingin
nontonnnn,menonton
deeek,adik
ntappp,mantap
deg2an,deg degan
cyiiin,cinta
iyha,iya
kureeeen,keren
muantaap,mantap
sbnyak,banyak
penasaraaann,penasaran
ayoooo,ayo
nii,ini
nontonya,menontonnya
peen,ingin
gga,enggak
asikkk,asyik
ceritax,ceritanya
yoooiii,iya
udahh,sudah
tauuuuu,tau
sabarrrrr,sabar
kqmu,kamu
banggain,banggakan
pengan,ingin
simpen,simpan
gakk,enggak
bagiin,bagikan
kapn,kapan
barang2,barang barang
senengin,senangi
ampunnnn,ampun
senengg,senang
teruzzz,terus
mantabb,mantap
sumpahh,sumpah
diluarann,di luaran
dlam,dalam
anjirrrr,anjir
jendess,janda
sichh,sih
geh,sana
nggak,enggak
22nya,dua duanya
aduuhhh,aduh
miripp,mirip
silauuu,silau
waww,wah
njiirr,anjir
kesinii,ke sini
gemay,gemas
dstu,di situ
wiiiihhhh,weh
samoga,semoga
kereennn,keren
nyangkaa,sangka
hasilnyaaa,hasilnya
dahhhh,sudah
mudah2,mudah mudah
jugaakk,juga
diapa2in,diapa apai
yaak,ya
lhoo,kamu
donx,dong
gthu,begitu
maauuu,mau
pacarrr,pacar
idamann,idaman
naturalllll,natural
berntung,beruntung
merka,mereka
jln2,jalan jalan
romntis,romantis
ulan,ulang
sipp,sip
jugak,juga
ngeluarin,keluar
keciill,kecil
ughaa,juga
abeees,habis
kapan2,kapan kapan
adain,adakan
bosen2,bosan bosan
sempurnaaaaa,sempurna
kaan,kan
kece2,kece kece
badaaiii,badai
beneraan,benaran
cantiiik,cantik
kuatttt,kuat
cantiiiiiiik,cantik
cantiknyaaa,cantiknya
bae2,baik baik
catiiiiik,cantik
subahanallah,subhanallah
jaman2nya,zaman zamannya
padet,padat
cantiq,cantik
lohh,kamu
keeeerrrreeeennnnnnnnn,keren
choker2,choker choker
hadirrr,hadir
hadirr,hadir
jelashh,jelas
mbaaa,mbak
hidupppp,hidup
diliatnya,dilihatnya
abis2,habis habis
para2,parah parah
bangeeet,banget
allahhhhhhh,allah
